umbral,precision,recall,f1,f2,costo,tn,fp,fn,tp
0.88,0.8747474747474747,0.9382448537378115,0.9053842132775745,0.9248184536522853,409.0,5403,124,57,866
0.885,0.8755060728744939,0.9371614301191766,0.9052851909994767,0.9241452991452992,413.0,5404,123,58,865
0.89,0.8763931104356636,0.9371614301191766,0.9057591623036649,0.9243428082923701,412.0,5405,122,58,865
0.895,0.8772819472616633,0.9371614301191766,0.9062336301728654,0.9245404018811458,411.0,5406,121,58,865
0.9,0.8770325203252033,0.9349945828819068,0.9050865233350813,0.9227972626176218,421.0,5406,121,60,863
0.905,0.8776758409785933,0.9328277356446371,0.9044117647058824,0.9212497325058848,430.0,5407,120,62,861
0.91,0.8776758409785933,0.9328277356446371,0.9044117647058824,0.9212497325058848,430.0,5407,120,62,861
0.915,0.8784473953013279,0.9317443120260022,0.9043112513144059,0.9205737529436951,434.0,5408,119,63,860
0.92,0.8790983606557377,0.9295774647887324,0.9036334913112164,0.9190231362467867,443.0,5409,118,65,858
0.925,0.8804123711340206,0.9252437703141928,0.9022715266772319,0.9159159159159159,461.0,5411,116,69,854
0.93,0.8817427385892116,0.9209100758396533,0.9009009009009009,0.9128006872852233,479.0,5413,114,73,850
0.935,0.8825363825363826,0.9198266522210184,0.9007957559681697,0.912118607649334,483.0,5414,113,74,849
0.9400000000000001,0.8850574712643678,0.9176598049837487,0.9010638297872341,0.9109485910948592,490.0,5417,110,76,847
0.9450000000000001,0.8865546218487395,0.914409534127844,0.9002666666666667,0.9086993970714901,503.0,5419,108,79,844
0.9500000000000001,0.8891235480464625,0.9122426868905742,0.9005347593582887,0.9075231730976504,510.0,5422,105,81,842
0.9550000000000001,0.8895966029723992,0.9079089924160346,0.8986595174262735,0.9041864479930946,529.0,5423,104,85,838
0.9600000000000001,0.8912579957356077,0.905742145178765,0.8984416980118216,0.9028077753779697,537.0,5425,102,87,836
0.9650000000000001,0.8947368421052632,0.9024918743228603,0.8985976267529665,0.9009301319489509,548.0,5429,98,90,833
0.9700000000000001,0.8946796959826275,0.8927410617551462,0.8937093275488069,0.8931281161933666,592.0,5430,97,99,824
0.9750000000000001,0.8971553610503282,0.8884073672806068,0.8927599346761024,0.8901432913590969,609.0,5433,94,103,820
0.98,0.898566703417861,0.8829902491874323,0.8907103825136612,0.8860621874320505,632.0,5435,92,108,815
