umbral,precision,recall,f1,f2,costo,tn,fp,fn,tp
0.87,0.8983050847457628,0.6316359696641387,0.7417302798982188,0.6715042616908546,1766.0,5461,66,340,583
0.875,0.8976744186046511,0.6273022751895991,0.7385204081632653,0.667512105141803,1786.0,5461,66,344,579
0.88,0.897196261682243,0.6240520043336945,0.7361022364217252,0.6645131518227965,1801.0,5461,66,347,576
0.885,0.8979591836734694,0.6197183098591549,0.7333333333333333,0.6606606606606606,1820.0,5462,65,351,572
0.89,0.8973143759873617,0.6153846153846154,0.7300771208226221,0.6566473988439306,1840.0,5462,65,355,568
0.895,0.8995215311004785,0.6110509209100758,0.727741935483871,0.6529289187311877,1858.0,5464,63,359,564
0.9,0.8982229402261712,0.6023835319609967,0.7211413748378729,0.6448619809788912,1898.0,5464,63,367,556
0.905,0.8970588235294118,0.5947995666305526,0.7153094462540717,0.6377788104089219,1933.0,5464,63,374,549
0.91,0.8971807628524047,0.5861321776814734,0.709043250327654,0.629802095459837,1972.0,5465,62,382,541
0.915,0.897133220910624,0.5763813651137595,0.7018469656992085,0.6207701283547258,2016.0,5466,61,391,532
0.92,0.8974358974358975,0.5687973997833152,0.6962864721485411,0.613747954173486,2050.0,5467,60,398,525
0.925,0.8961937716262975,0.5612134344528711,0.6902065289806796,0.6065573770491803,2085.0,5467,60,405,518
0.93,0.8943661971830986,0.5503791982665223,0.681421864520456,0.596244131455399,2135.0,5467,60,415,508
0.935,0.8954954954954955,0.5384615384615384,0.6725304465493911,0.5851189074640923,2188.0,5469,58,426,497
0.9400000000000001,0.8929889298892989,0.5243770314192849,0.6607508532423209,0.5715635333018422,2253.0,5469,58,439,484
0.9450000000000001,0.8913857677902621,0.5157096424702059,0.6533973919011667,0.563180312352106,2293.0,5469,58,447,476
0.9500000000000001,0.8908045977011494,0.5037919826652221,0.643598615916955,0.5517323208353109,2347.0,5470,57,458,465
0.9550000000000001,0.8891050583657587,0.49512459371614304,0.6360473208072372,0.5432715168806467,2387.0,5470,57,466,457
0.9600000000000001,0.8857715430861723,0.4788732394366197,0.6216596343178622,0.5273204485802911,2462.0,5470,57,481,442
0.9650000000000001,0.8830897703549061,0.4582881906825569,0.6034236804564908,0.5070726444497723,2556.0,5471,56,500,423
0.9700000000000001,0.0,0.0,0.0,0.0,4615.0,5527,0,923,0
0.9750000000000001,0.0,0.0,0.0,0.0,4615.0,5527,0,923,0
0.98,0.0,0.0,0.0,0.0,4615.0,5527,0,923,0
